iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
SSD,South Sudan,2024-09-21,0.0,0.2,3.0,2024-09-27
SSD,South Sudan,2024-09-28,0.0,0.6,1.8,2024-10-04
SSD,South Sudan,2024-10-05,0.0,0.5,3.1,2024-10-11
SSD,South Sudan,2024-10-12,0.0,0.6,3.8,2024-10-18
SSD,South Sudan,2024-10-19,0.0,0.6,3.1,2024-10-25
SSD,South Sudan,2024-10-26,0.0,0.4,3.1,2024-11-01
SSD,South Sudan,2024-11-02,0.0,0.3,2.2,2024-11-08
SSD,South Sudan,2024-11-09,0.0,0.8,3.8,2024-11-15
SSD,South Sudan,2024-11-16,0.0,0.2,2.2,2024-11-22
SSD,South Sudan,2024-11-23,0.0,0.9,3.5,2024-11-29
SSD,South Sudan,2024-11-30,0.0,0.9,3.1,2024-12-06
SSD,South Sudan,2024-12-07,0.0,0.9,3.7,2024-12-13
