iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
JEY,Bailiwick of Jersey,2024-09-21,0.0,0.0,0.0,2024-09-27
JEY,Bailiwick of Jersey,2024-09-28,0.0,0.0,0.0,2024-10-04
JEY,Bailiwick of Jersey,2024-10-05,0.0,0.0,0.0,2024-10-11
JEY,Bailiwick of Jersey,2024-10-12,0.0,0.0,0.0,2024-10-18
JEY,Bailiwick of Jersey,2024-10-19,0.0,0.0,0.0,2024-10-25
JEY,Bailiwick of Jersey,2024-10-26,0.0,0.0,0.0,2024-11-01
JEY,Bailiwick of Jersey,2024-11-02,0.0,0.0,0.0,2024-11-08
JEY,Bailiwick of Jersey,2024-11-09,0.0,0.0,0.0,2024-11-15
JEY,Bailiwick of Jersey,2024-11-16,0.0,0.0,0.0,2024-11-22
JEY,Bailiwick of Jersey,2024-11-23,0.0,0.0,0.0,2024-11-29
JEY,Bailiwick of Jersey,2024-11-30,0.0,0.0,0.0,2024-12-06
JEY,Bailiwick of Jersey,2024-12-07,0.0,0.0,0.0,2024-12-13
