iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
SYR,Syria,2024-09-14,0.0,0.0,0.1,2024-09-20
SYR,Syria,2024-09-21,0.0,0.0,0.0,2024-09-27
SYR,Syria,2024-09-28,0.0,0.0,0.0,2024-10-04
SYR,Syria,2024-10-05,0.0,0.0,0.2,2024-10-11
SYR,Syria,2024-10-12,0.0,0.0,0.2,2024-10-18
SYR,Syria,2024-10-19,0.0,0.0,0.0,2024-10-25
SYR,Syria,2024-10-26,0.0,0.0,0.1,2024-11-01
SYR,Syria,2024-11-02,0.0,0.0,0.1,2024-11-08
SYR,Syria,2024-11-09,0.0,0.0,0.0,2024-11-15
SYR,Syria,2024-11-16,0.0,0.0,0.0,2024-11-22
SYR,Syria,2024-11-23,0.0,0.0,0.0,2024-11-29
SYR,Syria,2024-11-30,0.0,0.0,0.0,2024-12-06
