iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
SAU,Saudi Arabia,2024-09-14,0.0,0.1,0.6,2024-09-20
SAU,Saudi Arabia,2024-09-21,0.1,0.1,1.1,2024-09-27
SAU,Saudi Arabia,2024-09-28,0.0,0.1,0.4,2024-10-04
SAU,Saudi Arabia,2024-10-05,0.1,0.1,0.3,2024-10-11
SAU,Saudi Arabia,2024-10-12,0.1,0.1,0.3,2024-10-18
SAU,Saudi Arabia,2024-10-19,0.1,0.3,0.7,2024-10-25
SAU,Saudi Arabia,2024-10-26,0.1,0.2,0.8,2024-11-01
SAU,Saudi Arabia,2024-11-02,0.0,0.0,0.4,2024-11-08
SAU,Saudi Arabia,2024-11-09,0.1,0.2,0.5,2024-11-15
SAU,Saudi Arabia,2024-11-16,0.1,0.1,0.4,2024-11-22
SAU,Saudi Arabia,2024-11-23,0.2,0.2,0.5,2024-11-29
SAU,Saudi Arabia,2024-11-30,0.3,0.3,0.9,2024-12-06
