iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
IRN,Iran,2024-09-14,0.0,0.0,1.2,2024-09-20
IRN,Iran,2024-09-21,0.0,0.0,1.4,2024-09-27
IRN,Iran,2024-09-28,0.0,0.0,1.4,2024-10-04
IRN,Iran,2024-10-05,0.0,0.0,2.3,2024-10-11
IRN,Iran,2024-10-12,0.0,0.0,1.7,2024-10-18
IRN,Iran,2024-10-19,0.0,0.0,1.7,2024-10-25
IRN,Iran,2024-10-26,0.0,0.0,2.8,2024-11-01
IRN,Iran,2024-11-02,0.0,0.0,1.6,2024-11-08
IRN,Iran,2024-11-09,0.0,0.0,1.5,2024-11-15
IRN,Iran,2024-11-16,0.0,0.0,3.0,2024-11-22
IRN,Iran,2024-11-23,0.0,0.0,0.9,2024-11-29
IRN,Iran,2024-11-30,0.0,0.0,3.0,2024-12-06
