iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
CAF,Central African Republic,2024-09-14,0.0,0.1,5.1,2024-09-20
CAF,Central African Republic,2024-09-21,0.0,0.1,5.2,2024-09-27
CAF,Central African Republic,2024-09-28,0.0,0.1,5.7,2024-10-04
CAF,Central African Republic,2024-10-05,0.0,0.0,5.7,2024-10-11
CAF,Central African Republic,2024-10-12,0.0,0.3,5.6,2024-10-18
CAF,Central African Republic,2024-10-19,0.0,0.2,3.7,2024-10-25
CAF,Central African Republic,2024-10-26,0.0,0.3,6.0,2024-11-01
CAF,Central African Republic,2024-11-02,0.0,0.0,3.1,2024-11-08
CAF,Central African Republic,2024-11-09,0.0,0.0,5.8,2024-11-15
CAF,Central African Republic,2024-11-16,0.0,0.1,5.0,2024-11-22
CAF,Central African Republic,2024-11-23,0.0,0.3,5.5,2024-11-29
CAF,Central African Republic,2024-11-30,0.0,0.2,4.0,2024-12-06
