iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
MTQ,Martinique,2024-09-14,0.0,0.5,5.5,2024-09-20
MTQ,Martinique,2024-09-21,0.0,0.4,8.0,2024-09-27
MTQ,Martinique,2024-09-28,0.0,0.1,7.3,2024-10-04
MTQ,Martinique,2024-10-05,0.0,0.7,6.7,2024-10-11
MTQ,Martinique,2024-10-12,0.0,0.4,6.2,2024-10-18
MTQ,Martinique,2024-10-19,0.0,0.4,6.5,2024-10-25
MTQ,Martinique,2024-10-26,0.0,0.6,6.4,2024-11-01
MTQ,Martinique,2024-11-02,0.0,0.7,7.7,2024-11-08
MTQ,Martinique,2024-11-09,0.0,0.1,7.5,2024-11-15
MTQ,Martinique,2024-11-16,0.0,1.3,7.2,2024-11-22
MTQ,Martinique,2024-11-23,0.0,0.4,8.7,2024-11-29
MTQ,Martinique,2024-11-30,0.0,0.5,8.0,2024-12-06
