iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
NIC,Nicaragua,2024-09-14,0.0,0.1,1.1,2024-09-20
NIC,Nicaragua,2024-09-21,0.0,0.1,1.5,2024-09-27
NIC,Nicaragua,2024-09-28,0.0,0.0,1.3,2024-10-04
NIC,Nicaragua,2024-10-05,0.0,0.0,1.1,2024-10-11
NIC,Nicaragua,2024-10-12,0.0,0.1,0.9,2024-10-18
NIC,Nicaragua,2024-10-19,0.0,0.0,1.1,2024-10-25
NIC,Nicaragua,2024-10-26,0.0,0.0,1.8,2024-11-01
NIC,Nicaragua,2024-11-02,0.0,0.0,1.2,2024-11-08
NIC,Nicaragua,2024-11-09,0.0,0.1,1.6,2024-11-15
NIC,Nicaragua,2024-11-16,0.1,0.1,1.3,2024-11-22
NIC,Nicaragua,2024-11-23,0.0,0.0,1.7,2024-11-29
NIC,Nicaragua,2024-11-30,0.0,0.0,1.2,2024-12-06
