iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
JOR,Jordan,2024-09-14,0.0,0.1,3.0,2024-09-20
JOR,Jordan,2024-09-21,0.0,0.1,3.8,2024-09-27
JOR,Jordan,2024-09-28,0.0,0.1,2.2,2024-10-04
JOR,Jordan,2024-10-05,0.0,0.2,2.1,2024-10-11
JOR,Jordan,2024-10-12,0.0,0.0,2.4,2024-10-18
JOR,Jordan,2024-10-19,0.0,0.2,3.1,2024-10-25
JOR,Jordan,2024-10-26,0.0,0.0,2.0,2024-11-01
JOR,Jordan,2024-11-02,0.0,0.2,1.9,2024-11-08
JOR,Jordan,2024-11-09,0.0,0.2,1.8,2024-11-15
JOR,Jordan,2024-11-16,0.0,0.2,2.2,2024-11-22
JOR,Jordan,2024-11-23,0.0,0.6,5.5,2024-11-29
JOR,Jordan,2024-11-30,0.0,0.1,3.0,2024-12-06
