iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
BLZ,Belize,2024-09-14,0.2,0.8,2.0,2024-09-20
BLZ,Belize,2024-09-21,0.1,0.2,1.5,2024-09-27
BLZ,Belize,2024-09-28,0.2,0.2,0.7,2024-10-04
BLZ,Belize,2024-10-05,0.3,0.8,1.7,2024-10-11
BLZ,Belize,2024-10-12,0.5,1.0,1.9,2024-10-18
BLZ,Belize,2024-10-19,0.1,0.4,1.4,2024-10-25
BLZ,Belize,2024-10-26,0.2,0.7,1.8,2024-11-01
BLZ,Belize,2024-11-02,0.1,0.7,1.9,2024-11-08
BLZ,Belize,2024-11-09,0.1,0.7,1.2,2024-11-15
BLZ,Belize,2024-11-16,0.1,0.9,1.7,2024-11-22
BLZ,Belize,2024-11-23,0.2,0.4,1.4,2024-11-29
BLZ,Belize,2024-11-30,0.1,0.5,1.4,2024-12-06
